Club,Games Played, Won,Draw,Loss,Scored,Conceded,Difference,Points
Manchester City,35,27,5,3,89,21,+68,86
Liverpool,36,26,8,2,89,24,+65,86
Chelsea,35,19,10,6,70,31,+39,67
Arsenal,35,21,3,11,56,42,+14,66
Tottenham Hotspur,35,19,5,11,60,40,+20,62
Manchester United,37,16,10,11,57,56,+1,58
West Ham United,36,16,7,13,57,46,+11,55
Wolverhampton Wanderers,35,15,5,15,35,34,+1,50
Brighton & Hove Albion,36,11,14,11,38,42,-4,47
Crystal Palace,35,10,14,11,46,42,+4,44
Aston Villa,35,13,4,18,48,49,-1,43
Brentford,36,12,7,17,44,52,-8,43
Newcastle United,36,11,10,15,40,61,-21,43
Leicester City,34,11,9,14,49,56,-7,42
Southampton,36,9,13,14,41,61,-20,40
Everton,34,10,5,19,37,56,-19,35
Burnley,35,7,13,15,32,49,-17,34
Leeds United,35,8,10,17,39,74,-35,34
Watford,35,6,4,25,32,70,-38,22
Norwich City,35,5,6,24,22,75,-53,21
